"Daily Weather Observations for Canberra, Australian Capital Territory for February 2019",,,,,,,,,,,,,,,,,,,,
Prepared at 13:00 UTC on Tuesday 20 August 2019   IDCJDW2801.201902,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature,Maximum temperature,Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/02/2019,14.7,20.7,0,,,ESE,41,12:09,15.3,66,8,SE,19,1020.5,20.3,55,8,ENE,24,1019.7
2/02/2019,15.1,29.5,0,,,NNE,30,19:44,19.1,77,8,E,13,1020.1,26.5,52,8,E,7,1016.6
3/02/2019,15.9,35.8,0,,,SE,41,18:25,22.9,69,,NNW,7,1015.8,34.8,29,,NNW,24,1011.3
4/02/2019,19.3,33.6,2.2,,,S,63,19:50,21.2,79,6,NNE,13,1013.2,30.1,41,8,W,15,1011.1
5/02/2019,17.8,27,32,,,SSW,41,15:55,22,70,8,SSE,13,1015.9,25.1,60,8,SE,22,1014.6
6/02/2019,18,29.9,2.8,,,E,46,16:54,22.5,71,,SE,7,1015.9,29,42,5,NE,17,1013.3
7/02/2019,16.8,31.1,0,,,W,39,14:57,21.5,67,,ESE,4,1014.7,30.3,39,,NW,20,1009.8
8/02/2019,17.3,31.2,0,,,WNW,52,15:12,22.5,67,8,NW,24,1007.8,28.3,28,8,W,20,1004.4
9/02/2019,15.8,24.4,5.4,,,NW,76,15:11,19.6,67,2,NNW,24,1000.2,22.2,34,2,WNW,41,997.6
10/02/2019,5.5,24.9,0,,,NNW,41,16:33,13.5,56,,N,6,1008.3,22.9,31,,NW,20,1005.8
11/02/2019,8.3,28.4,0,,,NNW,52,15:31,16.2,58,,NNW,7,1006.1,27.2,24,,NNW,31,1001.6
12/02/2019,9.8,30.2,0,,,NW,81,13:05,21.7,34,,NNW,22,998.3,29.7,18,,WNW,44,994.9
13/02/2019,11.6,23,0,,,WNW,43,10:56,15.3,35,,W,19,1005.5,21.6,20,,NW,17,1006.3
14/02/2019,5.7,27,0,,,E,35,19:58,13.4,70,,WSW,7,1018.6,24.5,28,,W,13,1016
15/02/2019,13.3,29.5,0,,,E,44,18:38,18.6,62,1,E,7,1023.5,27.9,31,,SW,15,1019.8
16/02/2019,10.9,29,0,,,NNW,24,11:57,17.8,66,,ESE,7,1021.2,27,30,,WNW,7,1016.2
17/02/2019,10.5,33.3,0,,,NW,41,13:05,18.5,57,,SSW,6,1014.2,31.9,20,1,NW,22,1010.3
18/02/2019,13.6,36,0,,,W,69,16:33,20.7,56,,S,2,1010.1,35.2,17,,NW,31,1005
19/02/2019,13.8,32.9,0,,,ESE,50,17:18,22,65,,W,6,1006,32.1,8,,W,26,1004.9
20/02/2019,14.5,28.9,0,,,ENE,46,18:43,16.7,70,8,NNW,9,1012.4,26.4,29,,NNW,13,1009.2
21/02/2019,13.2,27.7,0,,,E,43,17:30,18.3,72,8,ENE,7,1016.1,25.6,45,1,NNE,17,1014.3
22/02/2019,14.1,26,0,,,NE,48,14:28,16,67,8,SE,13,1020.7,24.4,36,,SE,20,1018.4
23/02/2019,8.9,27.2,0,,,E,56,15:43,15.7,66,,SE,13,1022.8,25.7,29,,ESE,30,1020.7
24/02/2019,10.6,25.7,0,,,SSE,39,15:21,15.9,52,,SSE,22,1027.8,24.2,27,,SE,19,1026
25/02/2019,9.5,28.9,0,,,NNE,39,14:52,16.6,60,,SSE,9,1027.8,27.3,31,,N,15,1023
26/02/2019,10.4,32.6,0,,,ESE,50,17:09,16.9,68,, ,Calm,1021.6,30.6,24,1,WNW,15,1016.9
27/02/2019,12.5,28.9,0.4,,,ENE,43,18:18,18.9,58,,ESE,15,1023.4,27.2,34,,E,19,1020.6
28/02/2019,14,32.6,0,,,E,35,16:41,19.5,69,8, ,Calm,1024.3,30.7,25,,N,11,1019.8
