"Daily Weather Observations for Canberra, Australian Capital Territory for April 2019",,,,,,,,,,,,,,,,,,,,
Prepared at 13:00 UTC on Sunday 18 August 2019   IDCJDW2801.201904,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature,Maximum temperature,Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/04/2019,3,19.4,0,,,ENE,31,14:08,8.4,89,, ,Calm,1023.4,17.2,59,8,NE,19,1023.6
2/04/2019,7.2,22.7,0,,,NE,24,18:22,11.7,89,3,N,4,1029.3,21.3,49,8,NNW,13,1025.3
3/04/2019,7.9,24.6,0,,,E,37,19:22,12.2,99,, ,Calm,1028,23.7,42,3,WNW,15,1025.4
4/04/2019,12.2,22.5,0,,,SE,31,19:02,16.1,62,7,SSE,7,1031,20.8,52,8,E,17,1029.3
5/04/2019,13.9,21,0,,,NE,26,9:32,15.2,77,8,ENE,15,1031.1,19.4,57,8,NE,13,1026.7
6/04/2019,9.6,25.2,0,,,NNW,44,14:59,14.8,95,6,NNW,13,1022.8,22.7,49,4,NNW,22,1019.2
7/04/2019,7.6,24.9,0,,,NW,41,14:06,13.2,99,8,SE,2,1020.6,24.4,26,,NW,26,1016.1
8/04/2019,6.3,24.8,0,,,NW,48,13:43,16,56,,SW,2,1017.3,23.5,28,1,NW,33,1014.1
9/04/2019,13,20.9,0,,,WSW,50,12:58,18.4,47,,WNW,28,1012.6,18.7,34,,WNW,28,1013.7
10/04/2019,0.5,18.5,0,,,SSW,28,13:01,10.1,56,,SE,15,1025.3,17.9,35,,W,11,1022.6
11/04/2019,1.6,20.1,0,,,E,33,19:16,10.2,71,, ,Calm,1027.1,19.5,39,,WNW,6,1023.2
12/04/2019,10.2,21.8,0,,,W,30,14:19,14.3,66,,ENE,6,1027,19.8,46,5,WNW,11,1022.5
13/04/2019,4.7,23.2,0,,,ESE,30,16:52,13.6,61,,ESE,6,1025.3,21.7,34,5,ESE,11,1021.8
14/04/2019,10.5,21.5,0,,,ENE,30,16:51,15.6,63,1,SE,11,1026.8,21.2,46,3,ENE,13,1022.8
15/04/2019,6.1,22.2,0,,,NE,28,15:01,13.8,72,1,SSW,4,1026,21.8,39,5,NNW,13,1022.2
16/04/2019,6.9,23.9,0,,,W,20,15:24,13.6,75,,SE,9,1027.5,22.3,35,,NW,9,1023.2
17/04/2019,7.2,24.3,0,,,WSW,26,12:30,14.5,79,,SSW,9,1027.1,23.9,29,,NW,11,1023
18/04/2019,6.3,26.1,0,,,W,33,14:50,14.9,69,, ,Calm,1026.5,25.5,30,,W,24,1023.9
19/04/2019,13.7,24.9,0,,,NNW,20,14:38,15.4,79,8, ,Calm,1030.1,24.3,42,,NW,9,1025.6
20/04/2019,9.8,25.8,0,,,E,26,19:15,15.4,84,8, ,Calm,1028,25.7,35,,SW,13,1023.2
21/04/2019,8.8,24,0,,,NW,28,12:21,16.7,79,,WSW,7,1025.5,23,52,1,WNW,11,1022.1
22/04/2019,11.7,25.1,0,,,ESE,46,14:24,18.9,70,,WSW,6,1023.4,17.4,82,8,SW,11,1022.1
23/04/2019,10.1,23.7,10,,,E,33,19:17,15.1,87,7,S,11,1028.9,22.7,51,8,SSE,9,1024.9
24/04/2019,10,24,0,,,NW,28,13:26,16.1,84,1,NNW,4,1026.4,22.3,51,1,NW,17,1021.7
25/04/2019,8,24.6,0,,,NNW,33,12:39,14.9,78,, ,Calm,1022.3,22.6,50,4,W,22,1018
26/04/2019,10,19.2,0,,,WNW,59,10:36,15.7,57,,NW,20,1016.2,16.8,46,8,WNW,22,1013.3
27/04/2019,1,16.7,0,,,N,35,16:01,8.5,60,,SE,11,1024.9,15.9,34,,NNW,22,1021.3
28/04/2019,0.2,19.1,0,,,NNW,39,14:48,8.9,64,,N,7,1022.8,18,40,,NNW,28,1019.7
29/04/2019,1.6,21.2,0,,,NNW,20,13:21,10.3,69,,SSE,7,1026.4,20.5,31,,NNW,9,1022.2
30/04/2019,4.4,22.6,0,,,NNW,39,15:12,11.5,93,, ,Calm,1022.2,22.2,36,2,NW,20,1017.8
