"Daily Weather Observations for Canberra, Australian Capital Territory for June 2019",,,,,,,,,,,,,,,,,,,,
Prepared at 13:00 UTC on Tuesday  3 September 2019   IDCJDW2801.201906,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature,Maximum temperature,Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/06/2019,-0.7,15.2,0.2,,,S,30,13:23,4,99,, ,Calm,1030.1,14.7,51,,SSW,11,1028.7
2/06/2019,-1.6,15.7,0,,,NNW,30,14:08,4.2,90,, ,Calm,1029.3,14.9,51,,NNW,20,1023.7
3/06/2019,2.9,11.4,0.4,,,S,57,23:07,7.6,87,8,N,11,1017.1,8.7,64,8,NW,17,1013.5
4/06/2019,4.4,11.4,3.6,,,S,69,6:05,6.5,67,2,S,39,1019.3,9.7,59,7,SSW,37,1020.7
5/06/2019,3.3,12.3,0,,,S,46,0:04,7.8,63,1,S,19,1029.5,11.6,50,,SSE,13,1028
6/06/2019,-3.9,14.6,0,,,W,19,16:08,1.6,95,,NE,4,1032.6,13.9,47,,NW,13,1031.2
7/06/2019,-1.3,17,0.2,,,SE,17,4:15,5.5,87,,S,6,1038.4,16.5,44,,NNW,7,1034.9
8/06/2019,-0.1,11.2,0,,,NNW,20,15:50,4.1,99,8,N,4,1033,10.3,78,6, ,Calm,1029.3
9/06/2019,0.6,16,0,,,NW,28,15:57,4.6,100,8, ,Calm,1026.9,14.3,70,8,NNW,17,1022.7
10/06/2019,4.5,14.5,0.4,,,NNW,54,9:14,10.9,99,8,NNW,37,1020.3,12.7,85,8,NW,17,1017.8
11/06/2019,3.8,16.3,2.8,,,NW,26,0:12,8.1,99,8,SE,7,1026.6,15.9,48,,NW,13,1025
12/06/2019,0.6,17.4,0,,,NNW,50,19:11,5.8,100,6,E,2,1023.5,16,64,3,NNW,30,1019.7
13/06/2019,5.8,16.5,1.8,,,NW,39,11:00,12,99,8,NNW,20,1017.8,14.7,55,5,WNW,24,1016.3
14/06/2019,-2.2,14.5,0,,,WNW,30,15:13,2.4,98,1,ESE,7,1022.2,14,47,2,WNW,17,1019.1
15/06/2019,-1.4,13.7,0,,,NW,19,15:15,2.7,99,8,SE,6,1023.7,13.4,60,,NNW,11,1021.2
16/06/2019,-0.8,13.2,0.2,,,NNW,17,2:11,4,99,7,N,2,1024.9,12.7,55,8, ,Calm,1021.3
17/06/2019,1.1,15.6,0,,,SE,26,9:36,6.1,85,6, ,Calm,1024.5,14.2,54,8,SSW,7,1022.2
18/06/2019,0.5,13.7,0,,,NW,37,14:15,4.9,99,2,E,6,1022.1,11.5,59,8,NW,24,1018.9
19/06/2019,-2.7,11.9,0.4,,,WNW,26,12:01,2.2,95,, ,Calm,1024.1,11.2,44,,NW,9,1022.5
20/06/2019,-4.4,11,0,,,N,31,14:29,1.5,83,,SSW,2,1026.5,9,48,6,NNW,15,1022.3
21/06/2019,-4.9,11.4,0,,,S,37,14:07,-0.5,99,8,SSW,4,1025.5,10.5,40,,S,24,1024.2
22/06/2019,-1.5,11.5,0,,,S,35,9:53,5.4,70,,N,2,1029,10.8,44,,SSE,15,1026.9
23/06/2019,-3.8,10.8,0.2,,,SSW,39,12:04,6,75,2,SE,15,1029.5,9.8,57,8,S,28,1028.3
24/06/2019,-0.8,13.6,0,,,ESE,33,13:05,6.3,81,,SE,9,1034.1,11.8,55,7,ESE,20,1032.5
25/06/2019,-2.2,15.9,0,,,SSE,19,0:37,4.1,89,,N,6,1036.6,14.8,49,5,ESE,2,1033.7
26/06/2019,0.4,15,0,,,E,22,14:27,7.3,80,,SW,7,1038.7,14.4,46,,E,9,1035.6
27/06/2019,0.4,15.9,0,,,SE,17,1:30,6.4,99,8,SSE,6,1037.7,15.2,55,1,NE,7,1033.6
28/06/2019,-1.1,16.7,0.4,,,NNW,30,13:34,1.9,99,6, ,Calm,1034.2,15.8,49,,NNW,17,1029.3
29/06/2019,-1.7,16.6,0,,,N,54,20:39,4.4,99,5, ,Calm,1027.8,15.1,56,2,NNW,24,1019.5
30/06/2019,4.3,11.3,7.4,,,NNW,46,2:37,6.9,82,8,N,17,1021.3,10.2,49,,NNW,26,1021.3
