"Daily Weather Observations for Canberra, Australian Capital Territory for July 2019",,,,,,,,,,,,,,,,,,,,
Prepared at 16:00 UTC on Monday  2 September 2019   IDCJDW2801.201907,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature,Maximum temperature,Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/07/2019,-4.7,12.5,0.2,,,N,31,16:59,0.6,90,,N,4,1026.9,11.1,50,1,NNW,11,1022.1
2/07/2019,-3.6,15,0,,,NW,37,15:05,0.6,96,,NE,2,1023,14.1,34,,NW,26,1020.5
3/07/2019,-3.1,15.6,0,,,E,30,18:18,4.9,84,6, ,Calm,1031.3,13.2,55,4,N,15,1030.7
4/07/2019,2.5,13.3,0,,,E,35,12:27,9,76,1,ESE,7,1038.1,12.2,66,8,SE,19,1036.7
5/07/2019,0,15.8,0,,,E,33,15:11,6.5,98,7,E,7,1039.2,12.8,79,8,E,13,1036
6/07/2019,4.6,15.6,0.2,,,NE,26,14:17,8.5,99,8,SSW,6,1038,14.8,51,1,ENE,11,1034.5
7/07/2019,0.2,15.3,0.2,,,NNW,17,15:46,8.9,83,6, ,Calm,1034.6,14.6,60,6,NW,7,1030.5
8/07/2019,7.3,15.9,0,,,NW,35,15:17,10.1,96,7,NNW,15,1026.3,14.9,58,3,WNW,26,1022.4
9/07/2019,-1.2,13.4,0,,,WNW,39,15:02,3.9,90,,SE,6,1022.6,12,48,,WNW,28,1018.9
10/07/2019,3.9,10.8,0,,,NNW,57,23:44,7.9,83,2,NNW,19,1019.1,9.5,64,8,NNW,28,1015.4
11/07/2019,6,10.6,0.8,,,NW,61,1:50,7.8,67,8,NNW,22,1012.9,8.5,66,8,NNW,37,1011.9
12/07/2019,7.7,13.1,0,,,NW,69,13:05,10.1,67,7,NW,31,1012.8,10.6,77,7,NW,48,1010.4
13/07/2019,3.2,8.7,2.8,,,NNW,65,0:29,4.9,70,2,NNW,35,1013.4,7.4,61,1,WNW,35,1015.6
14/07/2019,1,8.6,0,,,NW,63,17:32,4.7,70,,NW,31,1022,6.1,69,8,NNW,28,1018.1
15/07/2019,4.6,12.8,0.2,,,WNW,54,0:19,8.3,62,1,W,11,1018,12.2,46,,WNW,28,1018.4
16/07/2019,-2.1,14,0,,,NW,46,9:47,5,86,,S,4,1021.2,13.2,47,,WNW,30,1019.5
17/07/2019,4.4,12.5,0,,,WNW,54,13:19,9.4,66,,NNW,13,1020.1,11,50,,WNW,35,1015.8
18/07/2019,5.9,13,0,,,NW,46,14:30,9.4,55,,WNW,19,1016.6,11.9,52,,NW,33,1016.6
19/07/2019,2.3,13.3,0,,,N,37,11:23,7.8,75,,NW,20,1021.4,12.3,62,,N,26,1021.2
20/07/2019,-0.7,12.7,0,,,NNW,28,15:15,2.6,95,8,ESE,9,1025.3,12.5,61,,NNW,17,1021
21/07/2019,-4.7,15.8,0,,,NW,44,13:10,2.5,99,,SW,4,1019.8,15.2,43,3,NNW,30,1015.8
22/07/2019,-1.6,17.3,0,,,N,31,13:22,4.8,80,, ,Calm,1019.4,16.6,33,,NW,22,1015.6
23/07/2019,-2.4,16,0,,,WNW,59,14:48,10,58,,NNW,30,1017.2,14.5,46,,WNW,37,1015.6
24/07/2019,7.8,13.5,0,,,WNW,57,0:48,9.3,53,,WNW,22,1020.6,12.9,46,,NNW,28,1021.3
25/07/2019,-5.1,15.7,0,,,NW,24,15:42,1.9,85,,S,9,1028.6,15.5,36,,NNW,11,1024.6
26/07/2019,-1.8,11.1,0,,,NW,19,14:28,2,93,7,NNE,2,1023.8,11,68,8,WNW,9,1021.8
27/07/2019,0.2,16.2,0.2,,,WNW,28,17:05,4.4,100,8,E,7,1025.8,15.5,48,8,NW,19,1022.9
28/07/2019,-3.3,14.3,0,,,NNW,31,15:09,3.3,97,,N,2,1028,13.3,51,,NNW,19,1023.8
29/07/2019,-2.4,14.2,0,,,NW,37,12:56,3.3,89,7,N,6,1023.4,11,73,8,NNW,22,1020.2
30/07/2019,-1.4,13.6,0.2,,,SSE,31,10:33,6.5,80,,SE,15,1026.4,12.7,35,,SSW,7,1025.5
31/07/2019,-2.8,13.7,0.2,,,WNW,19,13:10,4.6,74,,SE,11,1033.1,13.2,44,,W,11,1029.8
