"Daily Weather Observations for Canberra, Australian Capital Territory for August 2018",,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Monday 12 August 2019   IDCJDW2801.201808,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature,Maximum temperature,Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/08/2018,7.6,15.4,0,,,NW,54,1:38,10.9,54,,WNW,22,1018.7,14.7,32,,NW,19,1018.7
2/08/2018,-3.8,14.3,0,,,NNW,26,12:23,3.3,87,1, ,Calm,1026.8,13.7,43,,NE,9,1021.9
3/08/2018,-3.6,19.5,0,,,NW,72,20:56,3.7,84,, ,Calm,1018.1,17.9,35,4,NNW,39,1009.9
4/08/2018,3.7,12.8,13.8,,,NNW,54,4:50,7.8,77,8,NNW,24,1016.8,11.6,52,5,WNW,22,1016.1
5/08/2018,-1,15,0,,,NW,43,12:19,5,85,, ,Calm,1018.4,14.6,48,,NW,24,1011.8
6/08/2018,1.2,13.7,0,,,NW,61,10:48,9.2,72,8,N,28,1005.4,10.9,44,8,WNW,31,1003.5
7/08/2018,2.4,9.7,6.6,,,WNW,61,14:52,4.9,90,5,NW,30,1009.5,8.8,54,,WNW,44,1010.4
8/08/2018,2.6,12.1,0,,,WNW,70,12:45,6.5,65,8,NW,30,1014.9,9.9,60,8,WNW,35,1013.7
9/08/2018,1.6,13.7,0,,,NNW,30,0:40,6.3,94,7,SSW,9,1024.3,12.9,50,,N,15,1022.2
10/08/2018,-2.5,15.6,0.2,,,NNW,43,12:16,0.5,99,8, ,Calm,1023.6,14.9,42,,NW,28,1017.7
11/08/2018,0.4,16.4,0,,,NW,59,10:48,8.9,63,1,SE,7,1011.4,13.2,45,8,NNW,37,1008.1
12/08/2018,1.4,11.7,3,,,WNW,46,14:08,6.4,72,,W,17,1016.9,10.7,39,1,WNW,31,1018.1
13/08/2018,2.4,13.8,0,,,WNW,52,14:23,7.6,76,,NNW,26,1022.9,12.5,54,,WNW,35,1022.1
14/08/2018,2.8,16.4,0,,,N,44,13:46,9.6,66,,NW,22,1025,14.9,49,,NNW,28,1020.5
15/08/2018,5.6,16,0,,,NNW,61,11:09,9.9,62,,N,31,1015.9,13.9,46,4,NW,37,1011.4
16/08/2018,6.5,13.8,0,,,WNW,56,6:23,10.3,47,,WNW,20,1013.2,12.5,38,,WNW,30,1012.1
17/08/2018,-5.5,13.4,0,,,WNW,41,13:32,2.7,74,,NNE,2,1017.2,10.7,40,3,WNW,26,1014
18/08/2018,-0.5,11.2,0,,,NW,59,11:22,9.1,55,2,NNW,13,1011.3,8.5,72,8,NW,22,1009.1
19/08/2018,2.7,10.6,3.4,,,W,52,14:33,5.8,59,1,NW,24,1013.2,8.9,44,8,W,24,1014
20/08/2018,-5.7,11.5,0,,,NW,44,19:46,2.6,71,,NNW,2,1022.4,10.4,49,,NNW,28,1018.7
21/08/2018,2.6,12.8,0,,,WNW,52,13:43,7.7,68,3,N,30,1016,10.7,52,,WNW,37,1012.5
22/08/2018,1.7,14,0,,,W,30,0:07,7.8,66,,WNW,7,1017.1,12.3,38,4,N,9,1015.3
23/08/2018,-1.5,12,0,,,E,30,20:19,5.3,81,8,SE,7,1022.4,11.4,45,8,NNE,13,1020.4
24/08/2018,4.1,14.9,0,,,E,37,18:29,9.6,71,7,ENE,7,1024.8,13.3,44,4,ESE,7,1022.3
25/08/2018,4.9,16.1,0,,,N,43,15:57,11.8,69,7,NE,13,1023.3,15.1,57,8,NW,9,1018.9
26/08/2018,4.6,17.6,1.6,,,WNW,31,15:29,8.5,99,3,N,9,1018.7,17,48,,WNW,22,1014.3
27/08/2018,0.2,14,0,,,S,35,9:02,7.7,64,2,SSE,19,1021.8,12,30,4,SSE,19,1020.8
28/08/2018,-3.4,12,0,,,S,39,9:14,5.4,51,3,S,9,1023,10.2,31,1,S,15,1018.1
29/08/2018,-5,13,0,,,SSW,35,9:12,4.8,56,,WSW,6,1020.8,12.3,28,,NNW,13,1017.7
30/08/2018,-6.4,14.8,0,,,WNW,24,14:54,3.6,61,,N,7,1021.5,13.4,27,8,WNW,17,1017.5
31/08/2018,3.6,12.1,0.4,,,NNW,44,16:17,6.7,81,8,SSE,9,1008.2,7.4,99,8,WNW,13,1001.2
