"Daily Weather Observations for Canberra, Australian Capital Territory for September 2018",,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Sunday 11 August 2019   IDCJDW2801.201809,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature,Maximum temperature,Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/09/2018,6.1,15,12.4,,,WNW,52,12:16,12.1,66,,NW,28,1008.8,12.7,63,1,NW,28,1009.7
2/09/2018,2,13.7,0,,,ENE,35,19:03,8,66,6,SSE,19,1019.2,13.1,36,,NW,15,1018.5
3/09/2018,0.8,13.9,0,,,E,37,18:48,7.9,57,8,SSE,11,1027.8,12.9,44,8,E,15,1026.1
4/09/2018,1.3,13.9,0,,,ENE,39,13:30,9.2,72,8,ESE,19,1030.4,13.5,59,1,ESE,17,1027.5
5/09/2018,0.8,16.8,0.6,,,NE,31,15:42,8.7,80,8,SW,2,1028.1,15.2,47,8,NE,19,1022.5
6/09/2018,2.9,14.4,0.2,,,NW,35,19:30,9.6,93,8, ,Calm,1020.9,12.2,78,8,SSW,7,1015.7
7/09/2018,9.4,18.6,24.6,,,NNW,35,7:06,14.2,74,,NW,20,1014,17.6,45,3,NNW,22,1012.8
8/09/2018,8.6,13.4,0,,,NE,26,14:29,9.9,76,8,ESE,6,1017.9,11.9,71,8,NNE,13,1016.1
9/09/2018,0.9,16.8,0,,,WNW,50,13:59,10.6,54,6,N,24,1020.4,15.3,43,,WNW,37,1018.5
10/09/2018,0.9,19.7,0,,,WNW,22,15:34,9.9,74,,S,4,1026.8,18.9,42,,N,15,1023.8
11/09/2018,2.2,21.4,0,,,NW,44,12:37,9.6,86,,ENE,2,1022.8,21.3,37,,NNW,31,1017.6
12/09/2018,7.4,21.8,0,,,NW,57,9:50,17.5,47,,NNW,35,1015.7,19.1,37,2,NW,33,1014
13/09/2018,1.4,20.6,0,,,N,28,14:10,10.1,65,,WNW,4,1021,19.7,19,,NNW,19,1018.1
14/09/2018,2.3,20.4,0,,,N,46,15:05,7.3,90,4,N,7,1019.8,19.6,30,,NNW,31,1014.9
15/09/2018,0.4,22.2,0,,,NNW,72,11:07,12.2,54,8,ENE,6,1008.7,16.3,37,7,WNW,28,1005
16/09/2018,0.2,13.7,0,,,WNW,39,0:30,7.1,45,,W,19,1019.2,11.7,31,,NE,9,1018.3
17/09/2018,-2.6,15.1,0,,,NNW,41,14:15,7,59,,NW,4,1025.2,14.5,34,,NNW,22,1020.6
18/09/2018,-2.3,20.4,0,,,NW,54,13:54,10.2,51,,NW,6,1019.1,19.4,20,,NNW,33,1013.2
19/09/2018,4.1,18.4,0,,,NW,57,12:51,16,32,1,NW,24,1009.8,15.7,24,,WNW,31,1010.7
20/09/2018,-2.9,17.5,0,,,WNW,39,16:21,8.3,51,,E,6,1020,16.4,27,,NNE,13,1018.1
21/09/2018,-2.7,19.4,0,,,NNW,35,14:39,8.6,52,,WSW,4,1028.1,18.2,34,,N,24,1024.4
22/09/2018,0.2,21.5,0,,,NNW,41,14:59,10.4,65,,NW,7,1027.8,19.5,36,5,NNW,28,1023.1
23/09/2018,-0.6,22.2,0,,,E,52,16:53,11.7,54,, ,Calm,1026.6,21.6,25,7,ENE,11,1021.8
24/09/2018,3.7,15.9,0.4,,,E,39,18:33,9,52,,SSE,13,1031.2,15.2,37,1,ESE,26,1027.1
25/09/2018,-0.9,17.4,0,,,E,41,18:31,9.6,61,,W,7,1028.4,16.8,30,,NW,13,1022.5
26/09/2018,7.3,15.3,0,,,NE,33,12:49,10.6,61,8,SSE,15,1023.2,13.9,49,8,ESE,17,1020.6
27/09/2018,0,20.3,0,,,NW,41,15:38,8,77,,NW,9,1021.3,18.8,35,2,N,28,1016.6
28/09/2018,0.9,24.7,0,,,NW,57,10:18,18.1,37,3,WNW,9,1016.4,23.1,26,,WNW,33,1012.6
29/09/2018,5.4,15.8,0,,,SSW,41,10:41,11.5,27,,SW,20,1020.1,14.9,26,,S,11,1021.1
30/09/2018,-2.6,18.8,0,,,ENE,33,18:56,9.6,50,,SW,7,1030.7,18.3,26,,W,11,1026.9
