"Daily Weather Observations for Canberra, Australian Capital Territory for October 2018",,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Saturday 10 August 2019   IDCJDW2801.201810,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature,Maximum temperature,Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/10/2018,0.4,22.6,0,,,N,39,12:56,12.2,59,,NNE,6,1029.4,21.5,28,,NNW,22,1023.8
2/10/2018,0,24.7,0,,,WNW,39,13:06,15,43,,N,6,1027.6,23,17,8,N,20,1022.2
3/10/2018,6.5,17.6,0,,,NW,46,10:48,13.8,60,8,SSW,4,1020.2,14,84,8,N,17,1017.2
4/10/2018,9.1,14,1,,,SE,39,19:23,11.9,81,8,S,17,1018.7,12.4,90,8,SE,11,1017.1
5/10/2018,8.2,16.4,1,,,SE,50,8:39,12.9,62,8,SE,30,1024.7,15.3,47,8,SE,26,1023.3
6/10/2018,3.7,18.6,0,,,SSE,43,10:44,13,53,4,SE,17,1025.2,18,34,,ESE,19,1021
7/10/2018,2.3,21.2,0,,,E,48,13:11,11.2,66,1,SSW,17,1024.3,20,37,1,ESE,26,1020.4
8/10/2018,8.5,23.5,0,,,E,35,13:05,13.8,67,7,SSW,13,1020.3,21.8,42,1,E,17,1016.2
9/10/2018,5,24.2,0,,,WNW,37,14:58,12,80,4,ESE,6,1016,23.8,28,8,W,24,1011.7
10/10/2018,10.9,13.2,1.8,,,SE,50,11:25,11,85,8,SSE,19,1018.2,11.7,64,8,SE,31,1019.4
11/10/2018,6.2,14.7,0,,,SE,41,11:07,9.2,67,8,SE,17,1024.5,13.4,53,8,ESE,22,1023.3
12/10/2018,6,16.8,0,,,ESE,39,14:09,10.7,71,8,ESE,17,1027.6,15.7,48,8,E,24,1024.8
13/10/2018,5.7,21.3,0.2,,,E,52,15:17,10.9,87,8,SE,9,1026.7,19.5,39,4,ENE,24,1022.8
14/10/2018,10.8,18,0,,,E,44,9:41,14.3,72,7,E,20,1026.9,16,67,8,E,22,1024.7
15/10/2018,11.8,23.7,0,,,NE,50,12:52,15.2,69,8,NE,19,1026,22.1,44,,NE,33,1021.8
16/10/2018,14.8,26.1,0,,,ENE,46,17:00,17,68,7,ENE,9,1022.4,25,44,3,ENE,30,1017.7
17/10/2018,11.6,22.9,0,,,NW,37,14:42,15.9,78,8, ,Calm,1017.3,21.8,52,7,NW,15,1014.3
18/10/2018,11.4,24.9,0.8,,,NW,48,12:41,15.1,84,8,N,13,1017.6,23.4,37,2,WNW,24,1014.9
19/10/2018,5.5,27.8,0,,,NNW,50,15:10,15.5,62,, ,Calm,1018.7,26.6,24,,NNW,22,1014.6
20/10/2018,10.3,27.2,0,,,NW,57,11:06,17.4,56,8, ,Calm,1013.9,17.5,77,8,ENE,13,1011
21/10/2018,4.7,21.9,9.4,,,ENE,35,18:46,12,71,,E,7,1017.2,19.9,40,,NW,15,1014.3
22/10/2018,8.8,25.5,0,,,N,39,14:46,13.9,72,,NNE,6,1018.2,24.8,27,,NNW,24,1014.4
23/10/2018,4.6,28.9,0,,,NNW,54,11:57,14.1,58,,ESE,2,1015.9,27.2,18,,W,26,1011.9
24/10/2018,9.9,21.4,0,,,E,50,16:09,13.6,69,8,ENE,7,1020.2,19.8,39,1,ENE,20,1018.5
25/10/2018,8.8,25.2,0,,,NW,37,13:32,13.3,63,8,NNE,11,1021.4,21.8,32,,WNW,17,1015.3
26/10/2018,7.6,26.4,0,,,WNW,43,16:12,15.4,61,,NW,9,1017.1,25.9,21,,NW,28,1012.9
27/10/2018,6.4,27.9,0,,,WNW,52,13:45,14.6,64,1,NNW,7,1014.2,26.2,21,,WNW,35,1009.5
28/10/2018,5.9,24.2,0,,,ENE,41,18:00,12.8,46,,SSE,9,1017.2,23,21,,WSW,9,1014
29/10/2018,6,24.6,0,,,ENE,50,17:24,12.3,67,8,S,13,1018.6,23.2,32,1,NE,13,1015.6
30/10/2018,8.4,29.1,0,,,NW,50,11:35,16,64,,NNW,11,1019,28,12,,WNW,28,1014.7
31/10/2018,6.4,31.1,0,,,W,41,12:50,18.3,28,, ,Calm,1020.3,30.6,12,,WNW,28,1016.8
