"Daily Weather Observations for Canberra, Australian Capital Territory for December 2018",,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Thursday  8 August 2019   IDCJDW2801.201812,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature,Maximum temperature,Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/12/2018,9,29.3,0,,,NW,50,12:52,17,68,,NW,9,1012,28,17,,NNW,30,1006.7
2/12/2018,9.7,26.1,0,,,WNW,72,9:04,25,28,,NW,35,997.7,21.4,34,6,WNW,31,1000.4
3/12/2018,9.1,23.9,0,,,W,59,12:49,15.9,43,,W,28,1008.7,23.4,29,,WNW,37,1007.1
4/12/2018,13,28.6,0,,,E,50,16:30,18.9,45,,W,7,1013.1,27.3,25,,NW,13,1012.4
5/12/2018,14.2,24.7,0,,,E,43,18:32,16.1,69,8,NE,13,1021.2,22.4,46,5,NE,19,1018.8
6/12/2018,12.1,29.3,0,,,ENE,31,15:33,15.9,72,7,SE,2,1022.9,27.5,36,,NNE,11,1018.8
7/12/2018,11.5,32.5,0,,,NNE,33,20:09,19.1,58,,SSE,6,1021.8,31.7,21,,N,11,1016.9
8/12/2018,12.6,33.5,0,,,NNW,37,10:19,22.8,48,1,WNW,6,1019.3,30.9,21,1,WNW,19,1016.6
9/12/2018,14.5,32.9,0,,,SSW,41,13:40,25.2,39,,S,4,1017.3,28.1,32,7,SSE,19,1015.1
10/12/2018,16,29,17,,,N,52,15:15,17.5,91,8,NNE,9,1015.1,26.5,47,,N,28,1012.4
11/12/2018,16.1,25,0,,,E,37,16:13,17.4,78,8,NE,11,1018.1,22.9,58,6,ENE,11,1015.2
12/12/2018,14.9,28.4,0.6,,,ENE,44,18:53,16.9,66,1,SE,7,1015.3,26.8,34,1,NE,13,1009.4
13/12/2018,16.8,24.4,28.6,,,NW,81,17:17,16.9,99,8,SE,9,1001.3,23.6,68,8,NW,11,997.9
14/12/2018,15.1,23,33.2,,,ENE,37,10:18,18.7,81,8,E,19,1001.8,22.2,62,8,E,17,1001.7
15/12/2018,16.1,26.4,9.2,,,N,37,10:25,21.3,78,1,NNE,19,1006.2,25.6,35,3,WNW,17,1004.1
16/12/2018,13.6,27.8,0,,,NW,52,13:49,21.6,56,8,WNW,11,1007.1,26.1,36,8,NNW,30,1005.2
17/12/2018,10.7,28.5,0,,,E,39,20:05,20.7,57,,NNW,4,1010.3,27.5,37,,WNW,22,1008.7
18/12/2018,14.2,30.6,0,,,E,50,16:05,20.6,66,,ENE,9,1014.5,29,37,,NW,9,1010.7
19/12/2018,17.8,29.3,0,,,ENE,35,19:04,18.5,80,8,NNE,9,1014.7,26.3,52,2,N,7,1010.6
20/12/2018,17.1,33.3,0,,,ESE,56,17:28,22.7,68,8,NW,2,1008.3,32.5,42,2,NNW,15,1002.5
21/12/2018,15.3,22.9,0,,,SSW,39,22:55,17.1,72,8,SE,13,1007.8,21.9,60,6,E,17,1005.5
22/12/2018,11.1,22.5,16.2,,,ESE,35,15:43,13.4,67,7,S,22,1012.5,21.2,36,2,SSW,19,1012.5
23/12/2018,7.6,23.6,1.6,,,N,26,12:28,14.5,57,,S,13,1020.5,21.6,37,,WSW,9,1018.6
24/12/2018,9.5,28.6,0,,,NNW,26,17:33,17.5,63,,SW,7,1021,27.3,24,,WSW,11,1017.3
25/12/2018,11.2,31.8,0,,,E,35,19:43,20.8,50,,ENE,2,1018.6,30.9,22,,WNW,13,1015.4
26/12/2018,13.2,34.4,0,,,WSW,41,14:02,23.9,44,,NNE,4,1017.1,33.3,20,1,W,19,1013.6
27/12/2018,15,36.5,0,,,NNW,37,12:53,24.3,53,,E,2,1015.1,35,17,1,W,19,1011
28/12/2018,17.8,36.8,0,,,W,56,12:35,27.1,36,5, ,Calm,1013.5,33.8,20,8,NW,24,1011.4
29/12/2018,16.9,36.7,0,,,ENE,48,17:00,29.5,32,,NNW,20,1014.6,36.2,16,,NW,22,1012
30/12/2018,16.7,34.5,0,,,W,44,18:27,21.8,60,5,ESE,4,1015.5,33.7,14,8,NW,31,1013.6
31/12/2018,17.7,34.1,0,,,W,57,12:53,25.9,46,,SE,4,1013.9,29.8,29,1,W,26,1011.5
