"Daily Weather Observations for Canberra, Australian Capital Territory for March 2019",,,,,,,,,,,,,,,,,,,,
Prepared at 13:00 UTC on Monday 19 August 2019   IDCJDW2801.201903,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature,Maximum temperature,Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/03/2019,14,30.3,0,,,E,44,19:33,19.7,68,3,SE,9,1024.9,28.8,25,1,NE,17,1022.5
2/03/2019,14.7,30.9,0,,,NNW,33,13:57,20.9,62,,ESE,13,1025.3,28,30,8,NNW,17,1021.3
3/03/2019,12.7,32.3,0,,,N,28,14:11,18.7,67,,ESE,9,1024.3,31,25,,NW,7,1019.8
4/03/2019,13.6,34.1,0,,,SSW,35,15:56,21.4,57,1,S,6,1022,33.3,19,,NW,7,1018
5/03/2019,15.3,29.4,0,,,W,57,19:44,21.5,56,5,WSW,15,1017.7,25.9,40,,WNW,13,1013.7
6/03/2019,15.9,22.6,0,,,NNW,48,13:09,19.4,74,8,WNW,7,1009.4,21.4,51,1,NW,31,1009.9
7/03/2019,4.2,23.7,9.8,,,E,39,19:02,10,55,,SSE,19,1023.3,21.4,29,,NNW,11,1020.4
8/03/2019,7.7,28.3,0,,,WNW,39,11:41,14.1,77,, ,Calm,1020.9,25.6,37,,NNW,24,1017.4
9/03/2019,14.1,29.5,0.2,,,E,41,17:20,18.1,82,8, ,Calm,1018.6,27.8,24,8,WNW,17,1015.7
10/03/2019,11.4,29.6,0.2,,,WSW,59,18:40,18,70,, ,Calm,1015.1,27.5,33,6,W,28,1010.3
11/03/2019,9.9,29.6,0,,,NNW,46,14:20,16.9,72,,ESE,6,1011.5,29.3,28,,NW,24,1007.8
12/03/2019,9.9,26.7,0.2,,,WNW,52,9:51,20.4,50,,NW,20,1007.2,25.6,24,,WNW,22,1006.9
13/03/2019,13.6,23.4,0,,,ENE,37,17:01,14.7,74,7,SE,7,1016.9,21.1,51,8,NNE,17,1015.1
14/03/2019,14.6,28.4,0,,,ENE,35,15:08,18.5,77,6, ,Calm,1014.1,26.2,38,6,NW,19,1009.8
15/03/2019,12.4,24.9,0,,,ESE,37,19:42,16.3,68,8,SSW,24,1016,23,42,7,ENE,11,1015.8
16/03/2019,13.2,24.5,0,,,SE,43,10:16,18.2,65,,SSE,19,1020.5,22.5,45,8,E,20,1019.3
17/03/2019,14.6,23.1,0,,,SSW,39,22:46,18.1,71,8,S,15,1018.6,21.9,46,7,SE,20,1015.2
18/03/2019,12.7,25.5,15.8,,,SSE,54,11:42,18.8,76,8,SSW,28,1011.7,24.4,56,8,ESE,30,1011.4
19/03/2019,15.7,26,0,,,SE,41,14:22,18.7,78,8,S,11,1014.5,25.2,46,8,ESE,20,1012.3
20/03/2019,12.2,28.8,0.2,,,ENE,44,7:41,17.2,83,, ,Calm,1015.5,26.5,37,3,S,9,1012.5
21/03/2019,14.7,27.3,0.2,,,E,28,17:25,18.6,73,,SE,13,1017.4,26.2,45,7,N,13,1014.5
22/03/2019,16.7,22.5,0,,,SW,26,12:40,18.8,76,,SSE,6,1017.5,20.7,64,6,WSW,9,1015.8
23/03/2019,10.1,24.6,1,,,WSW,15,10:39,14.1,96,7, ,Calm,1014.7,24,50,6,N,6,1011.4
24/03/2019,14,27.5,0,,,NW,54,22:09,16.5,90,8,N,11,1014.7,25.3,46,8,NW,20,1010.6
25/03/2019,16.5,22.5,0.6,,,NW,69,10:22,16.9,89,8,NW,39,1008,19.7,68,1,NW,35,1006.3
26/03/2019,8,22.6,0,,,WNW,56,7:14,12.8,40,,NW,31,1014.2,21.1,23,,NW,24,1014.9
27/03/2019,4.2,22.9,0,,,ENE,31,18:29,10.5,69,,SE,15,1024.2,21.8,38,,NE,17,1021
28/03/2019,6.8,26.4,0,,,NW,37,15:06,13,89,,SE,7,1020.6,24.9,41,,NNW,22,1016.1
29/03/2019,12.2,25,1,,,NNW,44,14:22,16.3,93,8,N,11,1014.3,23.2,57,5,N,22,1008.9
30/03/2019,13.3,16.4,45.2,,,WNW,69,14:55,14.8,98,8,N,7,1002,13.9,44,8,WNW,35,1002.1
31/03/2019,3.1,16.9,1.8,,,NW,48,14:32,9.8,58,,WNW,13,1013.4,16.2,48,,WNW,28,1014.1
