"Daily Weather Observations for Canberra, Australian Capital Territory for September 2019",,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Friday  6 March 2020   IDCJDW2801.201909,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature,Maximum temperature,Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/09/2019,-2.3,19.8,0,,,NW,39,14:18,7.1,70,,NNE,4,1024.1,17.9,25,1,NW,20,1018.2
2/09/2019,0.5,19,0.2,,,NW,28,17:34,10,68,,NW,7,1020.7,18.1,33,,WNW,11,1017.7
3/09/2019,2.9,21.7,0,,,NW,41,14:39,11.7,58,,NW,6,1019.2,21.2,28,,NNW,28,1014.6
4/09/2019,-0.3,22.2,0,,,NW,48,13:45,9.6,63,,W,9,1017.3,19.4,26,8,WNW,31,1014.4
5/09/2019,1.5,21.2,0,,,SW,31,15:33,10.9,55,8,S,7,1016.8,20.4,33,8,SW,13,1013.4
6/09/2019,5.7,20.1,0,,,W,69,15:12,14.2,65,,N,4,1004.7,14,53,8,NW,37,1000.7
7/09/2019,5,11.8,3.8,,,WNW,69,14:41,8.3,61,8,WNW,33,1008.7,9.9,52,8,WNW,37,1008.2
8/09/2019,4,13.4,0,,,WNW,57,14:52,9.1,47,,WSW,24,1014.2,10.8,52,,WNW,37,1011.7
9/09/2019,3.7,14.1,0,,,SSW,69,13:34,9.3,43,5,W,17,1012.6,12.8,29,1,S,46,1014.8
10/09/2019,-0.5,16.3,0,,,SSW,35,7:55,7.6,50,,SSW,24,1026.4,15.5,24,,NW,15,1024.5
11/09/2019,-3.1,19.4,0,,,NNW,30,16:26,7.3,68,,NNW,7,1031.5,18.6,28,,NW,17,1027.4
12/09/2019,-0.9,19.2,0,,,NW,50,15:19,12.1,51,,N,22,1024.6,18.3,26,7,WNW,28,1019.3
13/09/2019,-2.8,22.3,0,,,N,50,14:51,9.3,55,,W,2,1025.2,21.4,17,,N,35,1019.8
14/09/2019,-0.5,21.8,0,,,NNW,35,14:30,12.1,49,, ,Calm,1024.6,20.1,27,,NNW,22,1021.3
15/09/2019,-0.4,24,0,,,NW,43,14:04,11.1,50,1,NNW,4,1024.4,22.9,17,,NNW,31,1019.8
16/09/2019,5.4,24.7,0,,,NNW,46,11:23,20,17,2,NNW,20,1016.1,19.5,37,8,WSW,24,1015.3
17/09/2019,0.8,11.3,32,,,SE,50,14:00,5.6,82,8,SSE,19,1024.3,9.5,70,8,SE,30,1024.8
18/09/2019,1.5,15.9,0,,,SE,35,9:50,10.6,59,,SSE,15,1029.3,13.1,60,6,ESE,26,1027.2
19/09/2019,10,20.1,0,,,ENE,31,16:01,13.1,87,8,SW,2,1028.3,18.5,52,8,NE,19,1024.5
20/09/2019,5.6,23.3,0,,,NE,43,21:52,14.9,72,4,NW,4,1026.6,22.6,42,1,N,15,1020.9
21/09/2019,10.1,18.7,0,,,NW,52,13:26,16.9,69,8, ,Calm,1020.1,16.2,77,8,N,26,1016.8
22/09/2019,6.9,17.2,3.8,,,NNW,50,13:13,13.2,49,5,W,20,1023.3,15,37,7,NNW,31,1021.3
23/09/2019,0.1,13.6,0,,,WNW,50,11:09,10.9,58,6,WNW,24,1023.7,10.9,49,6,WSW,28,1023.1
24/09/2019,-2.9,16.9,0.2,,,N,44,13:36,7.5,68,,NNW,7,1027.7,15.3,39,,NW,30,1024
25/09/2019,-0.9,17.9,0,,,ENE,30,20:39,9.6,63,,W,6,1029.4,16.8,34,,S,7,1025.1
26/09/2019,4.4,18.2,0,,,NNW,35,13:13,12.7,65,4,NNW,7,1027.1,16.9,37,2,NNW,19,1022.9
27/09/2019,0.7,20.8,0,,,WNW,54,14:28,11.3,62,,SW,7,1020.3,18.8,29,7,W,26,1015.8
28/09/2019,3.7,18.1,0,,,NNW,31,0:16,11.4,42,,SW,17,1018.2,17.2,35,,NNW,13,1016.7
29/09/2019,2.2,20.2,0,,,N,48,13:14,10.9,65,8,NNW,6,1018.7,18.5,29,,NNW,33,1016.1
30/09/2019,3.6,19.7,0,,,E,43,18:48,11.7,57,,SSE,9,1024.8,19.1,29,,NW,11,1023.2
