"Daily Weather Observations for Canberra, Australian Capital Territory for October 2019",,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Thursday  5 March 2020   IDCJDW2801.201910,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature,Maximum temperature,Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/10/2019,5.6,21.1,0,,,NNW,31,17:02,11.9,64,1,NW,7,1031.7,20.2,26,,N,17,1026.5
2/10/2019,1.8,24.7,0,,,NNW,43,11:49,15.4,49,, ,Calm,1028.9,24.3,24,,W,22,1024.6
3/10/2019,4.2,28,0,,,NNW,39,13:26,16.3,44,,NNW,2,1026,27.2,19,,WNW,20,1020.9
4/10/2019,5.7,28.1,0,,,WNW,44,10:32,21,33,,NNW,17,1019.9,25.7,27,5,WNW,31,1016.3
5/10/2019,12.1,19.2,4,,,ENE,33,12:00,13.3,84,8,E,13,1023,18.1,53,7,ENE,17,1020.2
6/10/2019,11.4,30.4,0,,,N,61,12:28,13.9,87,1,SE,7,1016.8,28.8,25,,NNW,39,1009.1
7/10/2019,8.6,23.7,0,,,NW,54,11:45,18.4,51,,NNW,19,1012.1,22.2,34,,NNW,31,1010.1
8/10/2019,8.4,18.7,0,,,W,54,14:17,14.4,55,,WNW,28,1011.3,12.3,63,8,WNW,26,1011.6
9/10/2019,1.7,16.3,11.2,,,S,39,7:47,7.6,63,,S,30,1023.1,15.8,42,2,S,6,1021
10/10/2019,1,19.2,0,,,E,43,18:23,8.6,66,,S,9,1023.6,18.2,31,1,W,13,1019.4
11/10/2019,8.5,17.1,0,,,ESE,41,12:27,12,69,8,ESE,13,1019.5,15.8,48,5,SE,26,1015.8
12/10/2019,6.6,15.9,0,,,ESE,30,7:52,10.5,63,8,ESE,19,1019.3,14.1,48,8,SE,11,1017.1
13/10/2019,1.8,19.8,0,,,N,28,13:18,10.2,69,,SSE,6,1020.8,18.4,31,1,SW,9,1017.3
14/10/2019,4.3,22.7,0,,,SSW,33,17:54,10.2,77,8,S,7,1017.3,21.3,32,5,WSW,13,1013.7
15/10/2019,6.6,28,0,,,NW,56,14:34,13.9,60,5,S,6,1013.4,26.5,29,,N,30,1009.2
16/10/2019,7.8,24.8,0,,,NNW,67,13:47,16.8,64,1,W,9,1012.3,23.5,28,7,NW,46,1008.4
17/10/2019,9.5,16.1,4.8,,,WNW,69,13:26,14.1,72,8,NNW,26,1008.2,14.5,34,,WNW,41,1008.9
18/10/2019,5.8,21,0,,,NNW,52,13:18,11.7,48,,NW,17,1017.4,19.7,21,,WNW,31,1014.2
19/10/2019,8.8,19.2,0,,,NW,78,11:47,16,42,,WNW,37,1013.7,17.3,29,,WNW,43,1013.4
20/10/2019,-0.2,20.9,0,,,N,30,14:02,9.8,51,,ENE,2,1022.1,20.2,23,,NNW,13,1020
21/10/2019,3.1,26.7,0,,,ENE,33,18:16,13.5,53,,SW,7,1027,25.1,19,,WSW,9,1023.2
22/10/2019,5.8,28.5,0,,,E,41,18:10,15,57,,SW,6,1026,27.4,14,,NNW,17,1021.2
23/10/2019,5.8,29.2,0,,,SW,80,12:16,14.9,67,, ,Calm,1023.8,28.5,11,,WNW,31,1019.1
24/10/2019,6.8,31.2,0,,,W,39,14:26,17.4,32,,SE,4,1020.4,30.3,12,,WNW,20,1016.1
25/10/2019,9.1,31.1,0,,,NNW,91,13:58,20.2,33,7,S,9,1013.6,29.9,18,6,NNW,61,1007.7
26/10/2019,12.3,18.2,7.6,,,NW,78,12:55,15.1,48,,WNW,31,1006.2,17.7,32,2,WNW,52,1006
27/10/2019,4.6,20.5,0,,,NNW,43,12:23,11.8,45,,NW,22,1015.1,19.1,25,3,NW,31,1013.8
28/10/2019,3.7,22.9,0,,,W,39,13:58,12.7,52,,SW,9,1022.8,21.4,21,,W,13,1021
29/10/2019,5.6,27.4,0,,,NNW,50,13:47,15.1,64,, ,Calm,1023.7,25.5,24,,NNW,20,1018.8
30/10/2019,8.8,29.3,0,,,W,28,12:03,16.2,47,,ESE,6,1020.2,28.6,13,,NNE,13,1016.6
31/10/2019,7,31.7,0,,,NE,41,18:29,19.1,42,,SSE,6,1019,30.2,11,,W,15,1015.2
