"Daily Weather Observations for Canberra, Australian Capital Territory for November 2019",,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Wednesday  4 March 2020   IDCJDW2801.201911,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature,Maximum temperature,Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/11/2019,10.4,32.5,0,,,NNW,39,13:08,19.8,34,, ,Calm,1017.9,30.2,15,,ENE,9,1012.6
2/11/2019,13.9,31.3,0,,,N,63,12:21,21.5,42,7, ,Calm,1015.9,30.8,21,2,NNW,33,1011.3
3/11/2019,15.8,25.8,0,,,NNW,57,9:52,20.9,65,4,W,7,1013.8,17.5,85,8,SSW,6,1010.9
4/11/2019,11.5,22.6,12.4,,,WNW,56,13:15,16.3,71,3,NNW,19,1014.2,20.4,33,2,WNW,33,1012.7
5/11/2019,8.6,19,0.2,,,S,35,7:17,11.2,55,2,S,24,1015.6,16.6,35,7,NNW,17,1013.6
6/11/2019,7.2,23.7,0,,,NW,70,17:00,14.8,40,,NNW,19,1012.6,22.4,25,,NW,41,1007.9
7/11/2019,11.3,19.4,0,,,WNW,70,8:42,13,46,,WNW,39,1005.9,17.9,35,1,WNW,37,1005.1
8/11/2019,12.7,18.8,0,,,NW,72,10:47,14.9,48,1,WNW,35,1001.8,13.9,64,8,WNW,30,1002.2
9/11/2019,1.6,16.7,0,,,WNW,56,13:34,9,41,,WSW,13,1011.8,14.4,34,1,WNW,35,1009.8
10/11/2019,8.4,20.4,0,,,NNW,54,11:56,13.8,52,1,NW,31,1011.9,19.1,40,,WNW,33,1011.3
11/11/2019,3.7,26.4,0,,,NW,50,11:54,16.9,53,,NNW,11,1015.3,24.9,19,,WNW,24,1011.6
12/11/2019,5.8,26.6,0,,,NW,67,14:07,22.3,19,,NW,39,1006.3,23.5,21,8,WNW,33,1003.5
13/11/2019,6.7,20.8,0,,,WNW,50,16:27,11.3,34,,WNW,20,1013,19.4,23,,WNW,35,1010.6
14/11/2019,7.1,24.7,0,,,NW,52,13:53,15.8,43,,WNW,19,1014.9,23,28,,WNW,35,1011.1
15/11/2019,11.8,25.7,0,,,NW,61,13:38,17.2,43,,WNW,20,1010.9,24.3,18,,WNW,35,1007.8
16/11/2019,8.4,25.7,0,,,NW,50,13:45,16.4,40,,NE,7,1014.5,24.3,13,,NW,28,1011.8
17/11/2019,9.6,25.1,0,,,E,52,17:08,15,59,1,S,11,1016.6,23.3,17,1,NW,11,1013.2
18/11/2019,6.8,27,0,,,NNW,59,12:36,16,48,,NW,17,1017.5,25.9,18,,WNW,30,1013
19/11/2019,8.4,32.5,0,,,WNW,57,12:15,24.1,22,,NW,13,1012.7,30.8,10,,NW,35,1009.3
20/11/2019,8.4,31.4,0,,,ENE,33,19:15,16.7,56,,NE,9,1017,29.6,17,,E,9,1013.4
21/11/2019,10.9,39,0,,,NNW,54,14:11,23.6,37,,SE,4,1015,38.2,7,,NW,30,1009.2
22/11/2019,16.9,34.9,0,,,NW,52,13:52,27.7,24,8,N,15,1012.2,33.4,18,8,NW,31,1010.7
23/11/2019,12.9,33.1,0,,,NNW,54,12:39,20.8,51,,NNE,13,1014.6,31.5,8,,WNW,26,1011.8
24/11/2019,8.1,28.6,0,,,NNE,39,13:34,16.2,60,8,ENE,13,1019.1,24.5,37,,NE,13,1013.9
25/11/2019,10.7,31.5,0,,,NW,52,11:07,20.8,57,,NNW,15,1012.2,31,24,1,NW,31,1007.7
26/11/2019,15.4,27.3,0,,,NW,89,11:07,23.2,48,7,NNW,30,1002.4,18.6,35,8,WNW,46,1003.2
27/11/2019,1.6,27.1,0,,,NW,43,15:45,11.8,40,,NW,7,1015.7,25.2,14,,NNW,30,1012.5
28/11/2019,5.6,30.3,0,,,N,46,12:32,17.3,24,,NNW,6,1016.5,28.3,8,,NNE,19,1013
29/11/2019,12.6,33.1,0,,,N,65,12:35,20.5,42,,SSW,2,1014.9,32.5,8,,W,24,1009.8
30/11/2019,11.8,23.8,0,,,NW,69,12:12,20.5,47,8,E,7,1009.2,20.3,42,8,NW,30,1006.9
