"Daily Weather Observations for Canberra, Australian Capital Territory for December 2019",,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Tuesday  3 March 2020   IDCJDW2801.201912,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature,Maximum temperature,Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/12/2019,4.6,21.5,0,,,NW,63,11:28,15.2,37,,NW,20,1004.8,18.6,30,8,WNW,37,998.8
2/12/2019,7.4,15.1,0.6,,,WNW,57,11:17,10.4,65,8,WNW,26,992.3,11.1,69,8,WSW,33,994.8
3/12/2019,8.5,20.8,0.6,,,W,61,4:17,13.2,44,,WNW,31,1004.9,19.1,32,,WNW,41,1003.5
4/12/2019,12.6,24.1,0,,,WNW,57,14:39,16.6,37,,WNW,31,1008.4,22.9,18,,WNW,35,1007
5/12/2019,11.2,28.2,0,,,WNW,63,12:37,20.4,31,,NW,28,1008.6,27.3,12,,WNW,35,1005
6/12/2019,15.7,28,0,,,WNW,50,11:35,21,26,,NNW,20,1006,27.2,10,,W,30,1005.2
7/12/2019,11.1,29.7,0,,,WSW,52,13:04,20.7,19,,WNW,17,1011.8,29.1,12,,WSW,17,1008.7
8/12/2019,11.1,29.9,0,,,ENE,43,16:29,18.3,61,7,NNE,7,1017.9,28.7,23,,NNE,13,1015.3
9/12/2019,14.9,34.9,0,,,NW,46,12:45,19.8,63,8,NW,6,1019.8,32.6,19,3,WNW,22,1014.7
10/12/2019,12.2,38.1,0,,,NW,59,12:51,24.3,30,, ,Calm,1013.8,37.5,6,,WNW,35,1010.2
11/12/2019,11.3,32.7,0,,,NNW,44,14:58,15.9,62,7,E,15,1015.6,29.6,17,,NNW,19,1009.9
12/12/2019,12.8,30.5,0,,,ENE,57,16:32,18,53,,SE,7,1013,27.2,26,,W,11,1008.7
13/12/2019,12.8,27.8,0,,,E,48,17:25,16.2,62,3,NNE,13,1013.7,25.6,29,2,N,17,1009.3
14/12/2019,9.2,29.6,0,,,W,48,12:16,16.7,67,,WNW,7,1011.4,28.9,22,4,W,33,1007.4
15/12/2019,12.9,29,0,,,W,54,15:06,18.8,58,,NNW,17,1009.3,26.2,22,1,WNW,13,1006.4
16/12/2019,10.6,32,0,,,E,48,15:25,22.1,24,,SE,9,1010.3,29.8,16,,NW,11,1009.8
17/12/2019,12.1,32.5,0,,,E,48,17:49,17.6,54,,SE,9,1019.2,30.7,21,,ENE,15,1015.2
18/12/2019,12.2,36.8,0,,,NW,43,15:03,22.2,43,,S,7,1019.4,36.3,15,,WNW,20,1013.9
19/12/2019,15.8,39.3,0,,,E,54,18:13,26.5,27,1, ,Calm,1015.4,37.6,12,1,W,26,1012.9
20/12/2019,12.8,39,0,,,N,39,15:16,21.9,27,8,SSE,7,1019.3,37.2,10,8,NW,9,1013.2
21/12/2019,14.7,41.1,0,,,WNW,46,12:47,23.3,52,8, ,Calm,1013.6,40.1,12,3,W,28,1009.9
22/12/2019,15.5,24.9,0,,,ENE,43,15:57,18,64,8,E,17,1019.6,23.9,40,1,NE,28,1017.6
23/12/2019,8.6,32.4,0,,,NE,31,12:06,15.3,67,8,SSE,6,1020.1,30,20,1,NNE,17,1013.4
24/12/2019,15.3,28.8,0,,,NE,44,14:41,20.3,53,8,SE,13,1014.5,27.9,37,6,ENE,26,1012
25/12/2019,15.1,32.2,0,,,ENE,43,20:09,19,65,8,SSW,9,1017,29.7,28,,N,17,1012.9
26/12/2019,15.6,35,0,,,E,44,17:15,22.7,58,,ESE,6,1018.1,33.4,21,1,WNW,17,1014.5
27/12/2019,15.3,36.8,0,,,E,43,18:05,23,48,,SE,7,1019.5,35.4,18,,NNW,17,1015
28/12/2019,17.1,37.7,0,,,NW,52,12:47,25,42,8,SW,4,1018.1,35.6,13,,WNW,26,1014.3
29/12/2019,19.6,36.1,0,,,WNW,33,15:55,27,32,6,WSW,6,1017.4,34,18,7,W,17,1015.3
30/12/2019,17.6,39.8,0,,,NW,56,13:48,25.7,33,8,ESE,7,1015.1,38.5,8,1,NW,30,1009.9
31/12/2019,19.8,38,0,,,NW,74,9:32,31.6,14,,NNW,33,1007.7,36.7,9,8,NW,35,1005.4
