Month,Males 15-24 unemployment rate (%),Males 25-34 unemployment rate (%),Males 35-44 unemployment rate (%),Males 45-54 unemployment rate (%),Males 55-64 unemployment rate (%),Males 65 and over unemployment rate (%)
Dec-78,12,3.6,3,3.3,3.7,-
Dec-79,11.5,3.5,2.5,2.3,2.9,1.8
Dec-80,11.3,3.5,2.1,2.7,3,1.5
Dec-81,11.1,4,2.6,2.4,3.4,1.4
Dec-82,17.8,7.4,4.2,4.4,5.2,1.3
Dec-83,18.4,7.5,5.7,5.7,6.7,1.9
Dec-84,16.3,6.7,4.5,5.2,6,1.6
Dec-85,14.2,6.1,4,4.4,6.5,1.6
Dec-86,15.6,6.7,4.4,5.1,7,1.5
Dec-87,14.3,6.5,4.3,4.4,6.9,1.3
Dec-88,12,5.5,3.5,3.9,5.8,1.4
Dec-89,10.9,4.6,3,3.1,5.5,1.7
Dec-90,16.3,7.4,4.8,4.3,6.5,1.5
Dec-91,20.1,9.7,7.1,6.1,10.6,2.1
Dec-92,20.3,11.2,7.9,6.8,12.8,2.3
Dec-93,19,10.3,7.9,7.3,13.9,2.3
Dec-94,15.7,8.5,6.2,6.2,10.2,1.8
Dec-95,15.7,7.8,6.1,5.6,9,1.6
Dec-96,17.1,7.5,5.9,5.7,8.7,1.8
Dec-97,15.8,7.3,5.7,5.4,7.3,1.7
Dec-98,14.4,7.1,5.2,5.2,6.9,1.1
Dec-99,14,6.4,4.7,4.4,6,1
Dec-00,13.6,5.8,4.7,4.3,4.6,1.2
1-Dec,14.6,6.7,4.7,4.4,5.5,1.5
2-Dec,13.3,5.4,4.1,3.9,4.7,1
3-Dec,11.6,4.8,4.1,3.3,4,0.9
4-Dec,11.4,4.2,3.3,3,3.6,1
5-Dec,11.3,4.4,3,3.1,3.6,0.8
6-Dec,9.7,3.8,2.5,2.9,3.1,1.4
7-Dec,9.9,3.6,2.4,2.4,2.7,1.2
8-Dec,10.5,3.6,2.6,2.6,3,0.9
9-Dec,11.8,4.8,3.9,4,3.7,1.4
10-Dec,11.5,4.4,2.9,2.7,2.9,1.7
11-Dec,11.8,4.3,3.7,2.9,3.6,1.2
12-Dec,13.3,4.5,3.5,3.1,3.7,1.9
13-Dec,13.2,5.4,4.2,4.2,4.2,1.7
14-Dec,13.5,5.1,4.4,3.9,4.5,2.6
15-Dec,13.4,4.6,4.1,3.8,4.6,1.6
16-Dec,14.6,4.7,3.2,3.8,4.4,1.8
17-Dec,14,4.3,3.4,3.8,4.2,1.6
